Occupation,7
BeingDead,10
Arriving,127
BeingAtAPlace,112
SocialInteraction,17
Giving,53
Leaving,111
BeingInARelationship,11
Request,48
HavingInPossession,127
StartingConflict,4
Trade,42
Transportation,139
Getting,91
Enslaving,77
BeingEmployed,24
InternalChange,4
BeingInDebt,5
Translocation,137
Buying,7
HavingContractualAgreement,6
Selling,7
Decreasing,2
BeingLeader,23
Replacing,8
Increasing,5
FallingIll,7
Visit,16
HavingInternalState-,6
BeginningARelationship,2
AlteringARelationship,8
EndingARelationship,1
BeingInConflict,16
LosingPossession,9
IntentionalDamaging,3
Destroying,19
BeingDamaged,5
Damaging,19
StartingAWar,6
Dying,6
TakingUnderControl,55
ViolentContest,11
Collaboration,14
Killing,10
ForceToAct,16
Attacking,13
ChangeOfPossession,8
FinancialTransaction,3
EndingContractualAgreement,5
LeavingAnOrganization,5
Mutiny,2
SocialStatusChange,2
Encounter,15
Voyage,20
Communication,62
Repairing,4
BeginningContractualAgreement,2
BeingAtPeace,3
BeingDestroyed,2
HavingInternalState+,9
None,3
Mismanagement,3
HavingAMedicalCondition,2
Besieging,2
Invasion,2
EndingConflict,2
Sinking,4
ExtendingContractualAgreement,1
QuantityChange,1
